region,value,population_thousands,value_per_100k
Алтайский край,111,2200,5.045454545454545
Амурская область,50,760,6.578947368421052
Архангельская область,48,1010,4.752475247524752
Архангельская область (кроме Ненецкого автономного округа),46,970,4.742268041237113
Астраханская область,34,970,3.5051546391752577
Белгородская область,46,1510,3.0463576158940397
Брянская область,52,1150,4.521739130434783
Владимирская область,62,1330,4.661654135338345
Волгоградская область,84,2390,3.5146443514644354
Вологодская область,53,1140,4.649122807017544
Воронежская область,77,2310,3.3333333333333335
Еврейская автономная область,16,155,10.32258064516129
Забайкальский край,55,1070,5.140186915887851
Ивановская область,53,928,5.711206896551724
Иркутская область,88,2330,3.7768240343347643
Кабардино-Балкарская Республика,35,870,4.022988505747127
Калининградская область,53,1050,5.0476190476190474
Калужская область,36,1010,3.5643564356435644
Камчатский край,32,300,10.666666666666666
Карачаево-Черкесская Республика,19,490,3.8775510204081636
Кемеровская область,82,2470,3.319838056680162
Кировская область,70,1150,6.086956521739131
Костромская область,41,614,6.677524429967426
Краснодарский край,166,5660,2.932862190812721
Красноярский край,124,2850,4.350877192982456
Курганская область,31,790,3.924050632911392
Курская область,47,1020,4.607843137254902
Ленинградская область,50,2000,2.5
Липецкая область,45,1110,4.0540540540540535
Магаданская область,7,140,5.0
Московская область,156,7780,2.005141388174807
Мурманская область,38,710,5.352112676056338
Ненецкий автономный округ,2,41,4.878048780487805
Нижегородская область,133,3090,4.3042071197411005
Новгородская область,34,570,5.964912280701754
Новосибирская область,109,2780,3.9208633093525185
Омская область,84,1870,4.491978609625669
Оренбургская область,62,1840,3.369565217391304
Орловская область,37,700,5.285714285714286
Пензенская область,43,1210,3.5537190082644625
Пермский край,72,2590,2.77992277992278
Приморский край,83,1840,4.510869565217392
Псковская область,40,580,6.8965517241379315
Республика Адыгея,23,450,5.111111111111111
Республика Алтай,17,220,7.7272727272727275
Республика Башкортостан,96,4010,2.3940149625935163
Республика Бурятия,44,970,4.536082474226804
Республика Дагестан,122,3250,3.7538461538461543
Республика Ингушетия,16,520,3.0769230769230766
Республика Калмыкия,23,260,8.846153846153847
Республика Карелия,33,533,6.191369606003752
Республика Коми,45,780,5.769230769230769
Республика Крым,66,1850,3.5675675675675675
Республика Марий Эл,28,670,4.17910447761194
Республика Мордовия,36,740,4.864864864864865
Республика Саха (Якутия),57,980,5.816326530612245
Республика Северная Осетия - Алания,40,680,5.882352941176471
Республика Татарстан,92,3900,2.358974358974359
Республика Тыва,29,350,8.285714285714286
Республика Хакасия,25,530,4.716981132075471
Ростовская область,125,4110,3.0413625304136254
Рязанская область,41,1040,3.942307692307692
Самарская область,88,3140,2.8025477707006368
Саратовская область,100,2400,4.166666666666667
Сахалинская область,45,470,9.574468085106382
Свердловская область,149,4320,3.4490740740740744
Смоленская область,37,880,4.204545454545455
Ставропольский край,83,2790,2.974910394265233
Тамбовская область,45,950,4.736842105263158
Тверская область,72,1200,6.0
Томская область,50,1070,4.672897196261682
Тульская область,59,1450,4.06896551724138
Тюменская область,117,1700,6.88235294117647
Тюменская область (кроме Ханты-Мансийского автономного округа - Югры и Ямало-Ненецкого автономного округа),39,480,8.125
Удмуртская Республика,65,1480,4.391891891891892
Ульяновская область,60,1160,5.172413793103448
Хабаровский край,54,1260,4.285714285714286
Ханты-Мансийский автономный округ-Югра,54,1780,3.033707865168539
Челябинская область,114,3410,3.3431085043988267
Чеченская Республика,86,1520,5.657894736842105
Чувашская Республика,46,1160,3.96551724137931
Чукотский автономный округ,1,50,2.0
Ямало-Ненецкий автономный округ,24,530,4.528301886792453
Ярославская область,46,1180,3.898305084745763
г. Москва,208,13000,1.5999999999999999
г.Санкт-Петербург,123,5600,2.1964285714285716
г.Севастополь,13,520,2.5
